name,group,language,youtube,logo,updated
_ontheroad,,,channel/UCP8HuMVv8-6Mr_bHtqodQVA,https://yt3.ggpht.com/jK40X7DdDifTzUGVsvdjFHvx7dhHANYww3Dd7DXBB_fF8Q1HvXje-lPnd-wXWeOBkIFX9mGJjQ,2024-02-07T17:00:48.340Z
[公式]スターキャット,,,channel/UCsuKV3IwmGEHJTvi9GAJ1tA,https://yt3.ggpht.com/jo5FrdtAu8z23u4a_Lw848w3F1j7Cf6bb0iP4Lu_nSgMM8Kbp2OBhXTcRiMxkgaAiavphHP_rA,2024-02-04T09:00:47.062Z
[公式]スターキャット,,,video/Naf2sbgiGbI,https://yt3.ggpht.com/jo5FrdtAu8z23u4a_Lw848w3F1j7Cf6bb0iP4Lu_nSgMM8Kbp2OBhXTcRiMxkgaAiavphHP_rA,2024-02-21T20:00:49.734Z
【LIVE】宮益坂交差点ライブカメラ・渋谷愛ビジョンの眼（AI）／SHIBUYA AI Vision,,,channel/UCeS_n1uo4ixH531s7zbERwg,https://yt3.ggpht.com/a8K1gSl01vU2BO3e1Nzv9vNEjnLcTrXOj0vrOGryqJPhVqRyHLWUO2cGRnMx7Ir5kzOqa-LbYQ,2024-02-02T17:00:49.454Z
【LIVE配信   大阪・日本橋】メイド喫茶の街、日本橋、コスプレ、日本橋ストリートフェスタ,,,channel/UCjeJcwvOUi4XZpM4J9bm74A,https://yt3.ggpht.com/4f4-oNB9F7dVflwUeBfBUIGvCZ6QBLeSE1pL_rVde0JhcxEY_XpfgdjbkraiyrlL9BitcfnXfxQ,2023-07-20T15:00:58.372Z
【公式】クロス新宿ビジョン,,,video/2JcOHCCV4MA,https://yt3.ggpht.com/5fdA6QHbWqMS3-pjLdlyokL24bW4HlyecWwEXPH6w54rA6BYkz5DD8gTHS0A1dK228XESDiJ,2024-01-28T03:00:44.438Z
【公式】テレビ金沢,,,channel/UCzeRR8rMI8IkjqGx_MFlUjQ,https://yt3.ggpht.com/iK8OMYn3dDHVSrakXDtVnuOdN74kqNf5Qil_w2QQWYUoAzCDcd9thmyN_-x5lzxLmp4u24-OKw,2024-02-19T09:00:52.529Z
【公式】川崎競馬,,,channel/UCF7v-dGy_jQ_7bOi7oab2PA,https://yt3.ggpht.com/pel0DDq6rRWn4uSA2hJfEfCinlAd30guxWlYqkFlK2TA6F5EBayP_9ZZhB9WtzuulmVNrzrWbA,2024-01-29T05:00:47.554Z
【公式】川崎競馬,,,video/E0HZBD5Znyk,https://yt3.ggpht.com/pel0DDq6rRWn4uSA2hJfEfCinlAd30guxWlYqkFlK2TA6F5EBayP_9ZZhB9WtzuulmVNrzrWbA,2024-02-02T06:00:45.832Z
【琉球放送】RBC NEWS,,,channel/UCl27leged0PT2kIrRtrFYKA,https://yt3.ggpht.com/0rWYvSbmy_aI033GxIRTxdPG4Hvh7fiJlp9kj8NnYFwDlXmOHH83YR2zP-5xs9x_zKh0TOqv7Es,2024-01-02T08:00:47.480Z
